시도명,시군구명,읍/면/동,등록인구수,인구밀도,어린이보호구역개수
광주광역시,북구,건국동,51598,0.034856613,0
광주광역시,북구,동림동,22990,0.015530709,6
광주광역시,북구,두암1동,8228,0.005558359,4
광주광역시,북구,두암2동,17055,0.011521368,4
광주광역시,북구,두암3동,14476,0.009779145,5
광주광역시,북구,매곡동,14558,0.00983454,8
광주광역시,북구,문화동,19346,0.013069034,0
광주광역시,북구,문흥1동,17010,0.011490968,8
광주광역시,북구,문흥2동,16835,0.011372749,8
광주광역시,북구,삼각동,14801,0.009998696,10
광주광역시,북구,석곡동,2767,0.001869225,0
광주광역시,북구,신안동,11009,0.007437041,2
광주광역시,북구,양산동,36447,0.024621477,13
광주광역시,북구,오치1동,12203,0.008243638,10
광주광역시,북구,오치2동,13113,0.008858381,10
광주광역시,북구,용봉동,40651,0.027461455,13
광주광역시,북구,우산동,11272,0.007614709,4
광주광역시,북구,운암1동,20146,0.013609468,4
광주광역시,북구,운암2동,12985,0.008771912,4
광주광역시,북구,운암3동,15042,0.010161502,5
광주광역시,북구,일곡동,31397,0.02120999,16
광주광역시,북구,임동,8362,0.005648882,4
광주광역시,북구,중앙동,3387,0.002288061,0
광주광역시,북구,중흥1동,4978,0.003362848,2
광주광역시,북구,중흥2동,7074,0.004778784,2
광주광역시,북구,중흥3동,4814,0.003252059,3
광주광역시,북구,풍향동,6190,0.004181605,3
