,시도명,읍/면/동,인구
0,전라북도,고창읍,21643
1,전라북도,고수면,2308
2,전라북도,아산면,2717
3,전라북도,무장면,2879
4,전라북도,공음면,2564
5,전라북도,상하면,2467
6,전라북도,해리면,2881
7,전라북도,성송면,1853
8,전라북도,대산면,3412
9,전라북도,심원면,2577
10,전라북도,흥덕면,3155
11,전라북도,성내면,1994
12,전라북도,신림면,2290
13,전라북도,부안면,2684
14,전라북도,무주읍,9551
15,전라북도,무풍면,2280
16,전라북도,설천면,4085
17,전라북도,적상면,2632
18,전라북도,안성면,4285
19,전라북도,부남면,1419
20,전라북도,신태인읍,5664
21,전라북도,북면,4533
22,전라북도,입암면,2883
23,전라북도,소성면,2160
24,전라북도,고부면,2888
25,전라북도,영원면,1838
26,전라북도,덕천면,1877
27,전라북도,이평면,2139
28,전라북도,정우면,2622
29,전라북도,태인면,3577
30,전라북도,감곡면,2874
31,전라북도,옹동면,1736
32,전라북도,칠보면,2380
33,전라북도,산내면,1231
34,전라북도,산외면,2152
35,전라북도,수성동,18063
36,전라북도,장명동,3057
37,전라북도,내장상동,20778
38,전라북도,시기동,3471
39,전라북도,초산동,11030
40,전라북도,연지동,6130
41,전라북도,농소동,4189
42,전라북도,상교동,3967
