,시도명,시군구명,읍/면/동,설치유무,화재발생횟수,화재발생비율
0,서울특별시,강서구,염창동,0,18.0,0.0494505494505494
1,서울특별시,강서구,등촌1동,0,0.0,0.0
2,서울특별시,강서구,등촌2동,0,0.0,0.0
3,서울특별시,강서구,등촌3동,0,0.0,0.0
4,서울특별시,강서구,화곡본동,0,0.0,0.0
5,서울특별시,강서구,화곡1동,0,0.0,0.0
6,서울특별시,강서구,화곡2동,0,0.0,0.0
7,서울특별시,강서구,화곡3동,0,0.0,0.0
8,서울특별시,강서구,화곡4동,0,0.0,0.0
9,서울특별시,강서구,화곡6동,0,0.0,0.0
10,서울특별시,강서구,화곡8동,0,0.0,0.0
11,서울특별시,강서구,가양1동,0,0.0,0.0
12,서울특별시,강서구,가양2동,0,0.0,0.0
13,서울특별시,강서구,가양3동,0,0.0,0.0
14,서울특별시,강서구,발산1동,0,0.0,0.0
15,서울특별시,강서구,공항동,1,13.0,0.0357142857142857
16,서울특별시,강서구,방화1동,0,0.0,0.0
17,서울특별시,강서구,방화2동,0,0.0,0.0
18,서울특별시,강서구,방화3동,0,0.0,0.0
19,서울특별시,강서구,우장산동,0,0.0,0.0
20,서울특별시,강서구,가양동,1,31.0,0.0851648351648351
21,서울특별시,강서구,개화동,0,12.0,0.0329670329670329
22,서울특별시,강서구,과해동,0,1.0,0.0027472527472527
23,서울특별시,강서구,내발산동,0,18.0,0.0494505494505494
24,서울특별시,강서구,등촌동,0,54.0,0.1483516483516483
25,서울특별시,강서구,마곡동,1,20.0,0.0549450549450549
26,서울특별시,강서구,방화동,1,42.0,0.1153846153846153
27,서울특별시,강서구,오곡동,0,4.0,0.0109890109890109
28,서울특별시,강서구,외발산동,0,10.0,0.0274725274725274
29,서울특별시,강서구,화곡동,0,141.0,0.3873626373626374
30,서울특별시,광진구,중곡1동,0,0.0,0.0
31,서울특별시,광진구,중곡2동,0,0.0,0.0
32,서울특별시,광진구,중곡3동,0,0.0,0.0
33,서울특별시,광진구,중곡4동,0,0.0,0.0
34,서울특별시,광진구,능동,1,6.0,0.03
35,서울특별시,광진구,구의1동,0,0.0,0.0
36,서울특별시,광진구,구의2동,0,0.0,0.0
37,서울특별시,광진구,구의3동,0,0.0,0.0
38,서울특별시,광진구,광장동,1,13.0,0.065
39,서울특별시,광진구,자양1동,0,0.0,0.0
40,서울특별시,광진구,자양2동,0,0.0,0.0
41,서울특별시,광진구,자양3동,0,0.0,0.0
42,서울특별시,광진구,자양4동,0,0.0,0.0
43,서울특별시,광진구,화양동,1,31.0,0.155
44,서울특별시,광진구,군자동,1,12.0,0.06
45,서울특별시,광진구,구의동,1,32.0,0.16
46,서울특별시,광진구,자양동,1,54.0,0.27
47,서울특별시,광진구,중곡동,1,52.0,0.26
48,서울특별시,서대문구,충현동,0,0.0,0.0
49,서울특별시,서대문구,천연동,0,1.0,0.0043103448275862
50,서울특별시,서대문구,북아현동,0,9.0,0.0387931034482758
51,서울특별시,서대문구,신촌동,0,4.0,0.0172413793103448
52,서울특별시,서대문구,연희동,0,27.0,0.1163793103448275
53,서울특별시,서대문구,홍제1동,0,0.0,0.0
54,서울특별시,서대문구,홍제2동,0,0.0,0.0
55,서울특별시,서대문구,홍제3동,0,0.0,0.0
56,서울특별시,서대문구,홍은1동,0,0.0,0.0
57,서울특별시,서대문구,홍은2동,0,0.0,0.0
58,서울특별시,서대문구,남가좌1동,0,0.0,0.0
59,서울특별시,서대문구,남가좌2동,0,0.0,0.0
60,서울특별시,서대문구,북가좌1동,0,0.0,0.0
61,서울특별시,서대문구,북가좌2동,0,0.0,0.0
62,서울특별시,서대문구,남가좌동,0,23.0,0.0991379310344827
63,서울특별시,서대문구,냉천동,0,5.0,0.021551724137931
64,서울특별시,서대문구,대신동,0,6.0,0.0258620689655172
65,서울특별시,서대문구,대현동,0,10.0,0.043103448275862
66,서울특별시,서대문구,미근동,0,1.0,0.0043103448275862
67,서울특별시,서대문구,북가좌동,0,27.0,0.1163793103448275
68,서울특별시,서대문구,영천동,0,2.0,0.0086206896551724
69,서울특별시,서대문구,옥천동,0,2.0,0.0086206896551724
70,서울특별시,서대문구,창천동,0,41.0,0.1767241379310344
71,서울특별시,서대문구,충정로2가,0,5.0,0.021551724137931
72,서울특별시,서대문구,충정로3가,0,4.0,0.0172413793103448
73,서울특별시,서대문구,합동,0,2.0,0.0086206896551724
74,서울특별시,서대문구,현저동,0,2.0,0.0086206896551724
75,서울특별시,서대문구,홍은동,0,39.0,0.168103448275862
76,서울특별시,서대문구,홍제동,1,22.0,0.0948275862068965
